裴胡能,擢彼乔松,刘基(明朝),擢彼乔松，在彼丘阿。岁莫凄风，飒为枯柯。忧来伤心，云如之何。瞻彼昊天，曷其有宜。天降淫德，铺于下国。稻粱黍稷，暨于螟。不稼不穑，寇攘以食。哀此下民，曷其有极。心之忧矣，如烹如煎。丧乱靡底，如渊如泉。如彼奥草，孔蔓以延。呜呼昊天，伊谁之愆。有罻者罿，曷施于宇。胡罾于林，觊彼鲂鱮。小人所怃，君子所与。弗询弗犹，曷其有愈。君子不畏，乱日以炽。君子不忧，乱日以悠。正言谔谔，谄言诺诺。欢言孔怡，丧乱所基。邦家维车，庶民维舆。庶僚维服，大臣维御。慎尔驱驰，俾险作夷。无然没没，无俾车偾。无曰予知，民各有思。无曰予圣，庶民孔竞。无竞维德，四方之则。无为回遹，以纵枉慝。瞻彼高原，翳翳其云。眄彼大水，浩矣无津。嗷嗷飞雁，各念尔群。哀我人斯，胡胥以沦。莫高匪天，莫明匪日。何纤勿冒，何昧勿晰。维此圣人，庶民是葵。维彼愚人，则各有谋。原隰之瘁，夫妇云之。闾巷之呻，君子闻之。弗闻弗惟，则各有思。式谤式詈，腑肠以离。谷斯之秕，农以为殃。匪鹰匪隼，曷云能翔。维天有船，不可以航。眷言顾之，心焉恻伤。相彼茂草，飞鸟依之。淠彼深渊，鲂鲤归之。靡依靡归，胡能勿悲。我有隐忧，人莫之知。中途有棘，庶民伐之。执讯弗笃，君子堲之。不
裴前云,暮春朝陵西游次张石川韵四首,黄佐(明朝),天寿山前云出虹，玉泉长在柳阴中。五风十雨多禾黍，野老闲来说孝宗。
裴海童,秦宫秋词拟李贺,张羽(明朝),凉波翠湿南山影，露滴金人光炯炯。君王夜半卷衣回，楼壁斜开蜀云冷。西宫桂熟离离子，海童不归海尘起。蟪蛄啼老不胜秋，小玉采香惜香死。胭脂影破澄潭白，菱角尖尖怎堪摘。鲜红皱绿来满船，楼前凉月光团团。
裴科乃,题沈启南所藏郭忠恕雪霁江行图真迹,李东阳(明朝),洛阳老狂眼双白，挥豪醉呼声裂帛。手持造化夺天工，顷刻云烟变朝夕。有时点染入毫忽，决眦未须论寸尺。平看侧睨部位匀，叠见层分了无隔。更闻篆法书绝伦，二物殊科乃同格。前身合是颜平原，骨蜕空山两无迹。君看雪霁江行图，杳若张帆向空碧。沙明水净天地阔，远树平川晴历历。两舟供载百物具，细者铢藏巨山积。老稚相看宛有情，佣工仆夫皆受职。世间画手自有数，此狂一去难再得。宣和旧物出内局，书题瘦箸印方石。风尘澒洞河洛空，流落江南岁三百。天球河图庙不守，微物犹关世因革。富家珍袭何足论，终作贫儿一朝食。姑苏沈郎亦好奇，袖里黄金轻一掷。定知仙笔可通神，恐有六丁随霹雳。桓玄窃取吾所笑，一月为君频拂拭。还君颇觉未忘情，摹本为予君莫惜。
裴欲博,钱舜举清晖堂所写戏婴图为临淮顾谦赋,程敏政(明朝),海榴花开白日长，绣屏十二云锦张。沉沉午漏下初刻，搔头不整慵来妆。一姬南面金缕裳，两姬夹侍相颉颃。颀然围坐看儿戏，斑管雕弧堆象床。三姬鼎足如雁行，玉阶随步鸣双珰。以口抚婴爱入骨，笑语仿佛闻昭阳。一姬下坐收锦裆，洗儿自与浇兰汤。娟娟秀若化生子，银盆水暖芙蓉香。一姬转盼殊未央，拭巾在手明吴霜。小鬟两两意闲适，纨扇不动薰风凉。苕溪画史推钱郎，柔思独步丹青场。摩挲旧本岂易得，流传远自清晖堂。才人不说顾长康，鉴赏欲博千金强。《螽斯》、《麟趾》尚可作，为君击节歌周王。
